Id,Date Added,Council Member,Recipient Self,Recipient Dependent,Recipient Staff,Source,Date Gifted,Nature / Value,Reason,Intent,Value
434,2019-07-03,Brian Bowman,yes,no,no,"Kayla Kocian, Rainbow Stage",2019-06-18,"""Strike! - The Musical"" - 4 tickets x $65 = $260",Courtesy Gift,Retained,260
183,2018-06-28,Brian Bowman,yes,no,no,Dave Elmore - Bike Week Winnipeg,2018-06-15,Shirt - $20,"Kick-off for Bike Week at City Hall, greetings in shirt",Retain,20
238,2018-10-31,Brian Bowman,yes,no,no,Dean Davis,2018-08-01,Jig Lesson - $75,Protocol,Retain,75
168,2018-06-25,Mike Pagtakhan,yes,no,no,Joao Paul Melo,2018-06-15,Lunch,Meeting with Joao Paul Melo and John Cardoso,attended lunch,
412,2019-05-23,Brian Mayes,yes,no,no,Valour FC (Winnipeg Football),2019-05-04,Four tickets to opening game,Courtesy Gift,Retained,
510,2019-10-17,Matt Allard,yes,no,no,Councillor Brian Mayes,2019-09-20,Ticket to le Gala du Homard in support of le Cercle Molière,Councillor Mayes offered the ticket because he was not available to go,retained,
586,2021-07-21,Brian Bowman,yes,no,no,WAG/qaumajuq - thank you note from Susan Thompson,2021-05-03,"Journey North - The Inuit Art Centre Project, hard cover book - $100",Courtesy Gift,Retained,100
157,2018-06-21,Shawn Dobson,yes,no,yes,Red River Ex Association,2018-06-19,"casual barbecue dinner, complimentary midway treats and a few ride tickets",An informal evening to thank community partners for their help throughout the year.,retained,
11,2018-03-27,Mike Pagtakhan,yes,no,no,WASPS F.C.,2018-03-16,Plaque with photo of WASPS F.C. team,Thank you gift for donating funds to support the soccer team,Display in office,
167,2018-06-25,Mike Pagtakhan,yes,no,no,Casa Dos Acores,2018-05-25,Dinner,Casa dos Acores annual Blessing of the Meat,attended dinner,
624,2022-04-28,Brian Bowman,yes,no,no,"Sally Chien, International Affairs Division, Secretariat, Taichung City Government.",2022-03-02,"Taichung Tote Bag, Souvenier Items, Box of Masks, 2 Books, Cards - $50",Gift,Retained,50
264,2018-10-31,Brian Bowman,yes,no,yes,Jody Zarn - Laps 4 Life,2018-10-31,"Gift cards, fridge magnets - $60",Thank you gift,Retain,60
426,2019-06-25,Jeff Browaty,yes,no,no,Broadway Across Canada,2019-04-16,Kinky Boots Musical (2 tix @ ~$100.00 each),Opening night VIP,Retained,100
405,2019-05-17,Brian Mayes,yes,no,no,Union Centre,2019-05-15,One ticket to the Winnipeg General Strike Centennial Gala Dinner,Invited as guest,Retained,
569,2021-01-07,Brian Bowman,yes,no,no,Colin Stewart Commanding Officer of HMCS Chippawa.,2020-10-15,Commemorative Coin-$10.00,Courtesy Gift,Retained,10
462,2019-08-20,Vivian Santos,yes,no,no,Winnipeg Chinese Culture Community Centre,2019-05-22,Dinner,dinner and meeting with Board of Directors,retained,
188,2018-06-28,Brian Bowman,yes,no,no,Christopher Ali,2018-06-19,Book - $30,Courtesy visit gift,Retain,30
14,2018-03-27,Mike Pagtakhan,yes,no,no,Sergeant Tommy Prince Place,2018-03-17,Sweet Grass,Received as a thank you for attending the Sergeant Tommy Prince Place Unveiling Ceremony,Display in office,
646,2022-08-04,Brian Bowman,yes,no,no,Tour of Shaol Lake 40 - Chief Kevin Redsky,2022-07-08,Picture with Picture Frame - $30,Gift,Retained,30
128,2018-06-18,Brian Bowman,yes,no,yes,Doug Haworth - Winnipeg Business Club,2018-05-03,"Lunch, WBC Weekly Luncheon and portfolio- $80",Keynote lunch and speaking gift,Retain,80
16,2018-04-03,Scott Gillingham,yes,no,no,Canadian Cancer Society,2018-03-31,Daffodils,,,
523,2019-11-27,Brian Bowman,yes,no,no,The Ambassador of Mongolia-ARIUNBOLD Yadmaa,2019-10-30,A Pair of Mongolian Cashmere Gloves - $20.00,Courtesy Gift,Retained,20
177,2018-06-28,Brian Bowman,yes,no,no,Tony Faraci - Faraci Foods,2018-06-05,Pizza Pops - $20,Taste test event - the original pizza pop snack,Retain,20
331,2018-12-21,Scott Gillingham,yes,no,no,Canadian Mental Health Association,2018-12-15,Two tickets to organization gala - $250/ticket,Councillor brought greetings on behalf of the Mayor and City Council.,Attended the gala with his spouse.,500
576,2021-03-19,Shawn Nason,yes,no,no,Black History Manitoba,2021-02-19,200 T-Shirts Featuring Names of Black Inventors for Black History Month ($500),Sponsorship of Black History Month celebrations.,Donated,500
7,2018-03-19,Brian Mayes,yes,no,no,Canadian Cancer Society,2018-03-19,Daffodils,National fundraising campaign,Retained,
262,2018-10-31,Brian Bowman,yes,no,yes,Never Alone Foundation,2018-10-24,Luncheon - $100,Event attendance - protocol,Retain,100
619,2022-03-29,Jason Schreyer,yes,no,yes,Earls,2022-03-02,"two $100 gift cards; one for Councillor, one for EA",opening of new restaurant,both returned by mail March 4/22,100
455,2019-08-20,Vivian Santos,yes,no,no,Presidents Banquet Manitoba School Board,2019-03-15,Dinner,attended as School Liason to Manitoba School Board,retained,
333,2018-12-30,Matt Allard,yes,no,no,Folklorama,2018-08-05,Folklorama VIP passes,Folklorama offeres VIP passes to elected officials,retained,
325,2018-12-20,Kevin Klein,yes,no,no,Mayor Bowman,2018-12-18,"bag of assorted candies, approximately $5",Christmas/holiday goodies from Councillor Jeff Browaty to all councillors,retained,5
374,2019-02-15,Vivian Santos,yes,no,no,Ecole Stanley Knowles,2019-02-15,Mercedes Lagunnas hand painted plate,participated in I love to Read to Grade 4 students,retained,
546,2020-03-11,Brian Bowman,yes,no,no,"Jim Watson, Mayor of Ottawa",2020-02-06,Coffee Thermos,Courtesy Gift,Retained,
528,2019-12-09,Brian Bowman,yes,no,no,The Forks Trading Company,2019-11-08,MB 150 Sweatshirt and Travel Mug - $75.00,Courtesy Gift,Archives,75
599,2021-10-18,Brian Bowman,yes,no,no,"Marco Palumbo, Owner Maxim Muffler & Auto",2021-09-11,Imitation Grey Cup Ring $50,Courtesy gift,Retained,50
595,2021-10-18,Brian Bowman,yes,no,no,"Sean Finn - Executive Vice President, CN, 100 years",2021-08-09,"Hard Cover Book, Glass Monument, Coffee cup, all with 100 years CN- $300",Courtesy gift,Retained,300
495,2019-10-11,Brian Bowman,yes,no,no,Greek Counsel General Victor Maligoudis,2019-09-20,The Acropolis Hunting Dog Silver Coin and 2 CD's - Cavafy,Courtesy Gift,Retained,
121,2018-06-18,Brian Bowman,yes,no,yes,Jody Zarn - Laps 4 Life,2018-04-28,Bracelet X 2 - $50,Courtesy Gift,Retain,50
276,2018-12-10,Vivian Santos,yes,no,no,Manitobans for Human Rights Youth Advisory Council,2018-12-09,Lunch,attended as Acting Deputy Mayor to bring greetings at the annual International Human Rights Day luncheon,retained,
553,2020-06-30,Shawn Nason,yes,no,no,204 Spirits Inc.,2020-06-02,2 small bottles of hand sanitizer total value of $12,Courtesy Gift,Retained,12
584,2021-05-26,Brian Bowman,yes,no,no,Eric Plamondon - Art Space,2021-03-28,Book - Our Artspace,Courtesy Gift,Retained,
39,2018-04-05,Brian Bowman,yes,no,no,Grant Memorial Church,2018-02-28,Daily prayer book - $30,Meeting with church leadership,Retained,30
